name,price,bairro
Apartamento Padrão,"678.000,00",Bairro: Jardim La Salle
Apartamento Padrão,"648.000,00",Bairro: Jardim La Salle
Apartamento Padrão,"1.320.000,00",Bairro: Vila Industrial
Terreno Lote Urbano,"300.000,00",Bairro: Jardim Concórdia
Comercial Sala Comercial,"
															21.000,00														",Bairro: Centro
Terreno Lote Urbano,"135.000,00",Bairro: Vila Operaria/Boa Esperanca
Apartamento Padrão,"250.000,00",Bairro: Jardim La Salle
Casa Padrão,"350.000,00",Bairro: Jardim Coopagro
Casa Padrão,"350.000,00",Bairro: Jardim Coopagro
Comercial Sala Comerc...,"550.000,00",Bairro: Centro
Apartamento Padrão,"900.000,00",Bairro: Centro
Apartamento Padrão,"930.000,00",Bairro: Centro
Apartamento Padrão,"1.100.000,00",Bairro: Centro
Apartamento Padrão,"1.200.000,00",Bairro: Centro
Apartamento Padrão,"1.250.000,00",Bairro: Centro
Casa Padrão,"275.000,00",Bairro: Jardim Coopagro
Casa Padrão,"275.000,00",Bairro: Jardim Coopagro
Terreno Lote Urbano,"330.000,00",Bairro: Centro
Casa Padrão,"275.000,00",Bairro: Jardim Coopagro
Apartamento Padrão,"1.600.000,00",Bairro: Centro
Apartamento Padrão,"1.450.000,00",Bairro: Centro
Comercial Edificio Co...,"2.200.000,00",Bairro: Jardim Porto Alegre
Casa Padrão,"280.000,00",Bairro: Pinheirinho
Casa Padrão,"220.000,00",Bairro: Jardim Europa/America
Casa Padrão,"220.000,00",Bairro: Jardim Europa/America
Casa Padrão,"220.000,00",Bairro: Jardim Europa/America
Apartamento Padrão,"329.000,00",Bairro: Jardim Tocantins
Apartamento Padrão,"550.000,00",Bairro: Centro
Apartamento Padrão,"550.000,00",Bairro: Centro
Apartamento Padrão,"349.000,00",Bairro: Jardim Tocantins
Casa Padrão,"425.000,00",Bairro: Jardim Panorama
Casa Padrão,"2.000.000,00",Bairro: Jardim Pancera
Apartamento Padrão,"320.000,00",Bairro: BIOPARK
Apartamento Padrão,"310.000,00",Bairro: BIOPARK
Apartamento Padrão,"310.000,00",Bairro: BIOPARK
Apartamento Padrão,"300.000,00",Bairro: BIOPARK
Apartamento Padrão,"295.000,00",Bairro: BIOPARK
Apartamento Padrão,"290.000,00",Bairro: BIOPARK
Apartamento Padrão,"290.000,00",Bairro: BIOPARK
Apartamento Padrão,"300.000,00",Bairro: BIOPARK
Apartamento Padrão,"295.000,00",Bairro: BIOPARK
Apartamento Padrão,"290.000,00",Bairro: BIOPARK
Apartamento Padrão,"290.000,00",Bairro: BIOPARK
Apartamento Padrão,"310.000,00",Bairro: BIOPARK
Apartamento Padrão,"310.000,00",Bairro: BIOPARK
Apartamento Padrão,"300.000,00",Bairro: BIOPARK
Apartamento Padrão,"300.000,00",Bairro: BIOPARK
Apartamento Padrão,"320.000,00",Bairro: BIOPARK
Apartamento Padrão,"310.000,00",Bairro: BIOPARK
Apartamento Padrão,"310.000,00",Bairro: BIOPARK
Apartamento Padrão,"300.000,00",Bairro: BIOPARK
Apartamento Padrão,"300.000,00",Bairro: BIOPARK
Apartamento Padrão,"310.000,00",Bairro: BIOPARK
Apartamento Padrão,"300.000,00",Bairro: BIOPARK
Apartamento Padrão,"1.300.000,00",Bairro: Centro
Terreno Lote Urbano,"180.000,00",Bairro: Jardim Panorama
Comercial Sala Comerc...,"
															2.500,00														",Bairro: Centro
Casa Padrão,"410.000,00",Bairro: Jardim Tocantins
Casa Padrão,"750.000,00",Bairro: Vila Becker
Apartamento Padrão,"480.000,00",Bairro: Vila Industrial
Apartamento Padrão,"2.200.000,00",Bairro: Centro
Casa Sobrado,"450.000,00",Bairro: Pinheirinho
Casa Padrão,"380.000,00",Bairro: Bom Principio (Distrito de Toledo)
Apartamento Padrão,"230.000,00",Bairro: Jardim Gisela
Terreno Lote Urbano,"200.000,00",Bairro: Jardim Europa/America
Terreno Lote Urbano,"600.000,00",Bairro: BIOPARK
Apartamento Padrão,"500.000,00",Bairro: Centro
Casa Padrão,"570.000,00",Bairro: Centro
Casa Sobrado,"950.000,00",Bairro: Jardim La Salle
Casa Padrão,"1.750.000,00",Bairro: Centro
Rural Sítio,"2.800.000,00",Bairro: Sede Alvorada (Distrito de Cascavel)
Casa Padrão,"200.000,00",Bairro: Pinheirinho
